contig	locus	id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig43780	6045	Contig43780_6045	18	2.115e-01	-1.350e-01	1.409e+00	0.9237	8.552e-01	7.504e-02	3.036e+01	2.968e+01	4.130e+00	1.591e+00
Contig43780	8302	Contig43780_8302	18	1.958e-01	-2.949e+00	1.641e+00	0.07226	9.101e-01	1.104e-01	2.276e+01	2.516e+01	4.969e+00	1.614e+00
Contig43780	8348	Contig43780_8348	18	2.888e-01	-4.183e-02	6.934e-01	0.9519	6.446e-01	2.727e-01	3.688e+00	7.410e+00	2.190e+00	9.368e-01
Contig43780	8384	Contig43780_8384	18	2.861e-01	3.114e-01	8.855e-01	0.7251	4.473e-01	2.169e-01	4.166e+00	4.780e+00	1.889e+00	1.129e+00
Contig43785	19566	Contig43785_19566	18	2.702e-01	7.840e-01	1.141e+00	0.4921	8.120e-01	2.296e-01	7.134e+00	1.086e+01	3.338e+00	1.191e+00
Contig43785	22362	Contig43785_22362	18	3.065e-01	1.528e+00	1.213e+00	0.2077	6.058e-01	2.938e-01	7.291e+00	1.192e+01	2.754e+00	1.277e+00
Contig43785	22659	Contig43785_22659	18	2.191e-01	7.993e-01	9.741e-01	0.4119	7.956e-01	1.579e-01	1.506e+01	1.614e+01	6.284e-01	1.248e+00
Contig43785	22679	Contig43785_22679	18	3.471e-01	9.453e-01	6.297e-01	0.1333	6.465e-01	2.760e-01	2.662e+00	6.371e+00	1.462e+00	9.181e-01
Contig43785	22681	Contig43785_22681	18	4.981e-01	-1.267e-01	3.191e-01	0.6914	6.979e-01	2.559e-01	6.457e-01	2.887e+00	6.113e-03	4.933e-01
Contig43788	10258	Contig43788_10258	18	2.850e-01	1.248e+00	1.311e+00	0.3411	6.553e-01	2.632e-01	7.033e+00	1.407e+01	3.335e+00	1.378e+00
Contig438286	1385	Contig438286_1385	18	2.256e-01	1.105e+00	1.181e+00	0.3496	8.350e-01	1.818e-01	1.034e+01	1.674e+01	2.814e+00	1.209e+00
Contig43832	4182	Contig43832_4182	18	3.433e-01	1.067e+00	1.536e+00	0.4874	2.605e-01	1.573e-01	1.329e+01	1.216e+01	4.024e+00	1.526e+00
Contig43832	4228	Contig43832_4228	18	2.467e-01	-7.095e-01	1.889e+00	0.7073	5.066e-01	2.235e-01	1.154e+01	1.168e+01	4.540e+00	1.513e+00
Contig43844	6598	Contig43844_6598	18	2.924e-01	1.707e+00	1.954e+00	0.3821	6.933e-01	2.488e-01	1.156e+01	1.896e+01	3.885e+00	1.489e+00
Contig43844	6605	Contig43844_6605	18	3.265e-01	1.428e-01	8.797e-01	0.8711	7.226e-01	2.675e-01	7.199e+00	1.465e+01	3.159e+00	1.161e+00
Contig43844	6994	Contig43844_6994	18	2.872e-01	-5.759e-03	8.406e-01	0.9945	7.989e-01	2.278e-01	7.019e+00	1.246e+01	3.628e+00	1.101e+00
Contig43844	6996	Contig43844_6996	18	3.467e-01	8.824e-01	7.615e-01	0.2465	6.323e-01	2.702e-01	3.185e+00	6.990e+00	2.277e+00	1.008e+00
Contig43844	7046	Contig43844_7046	18	2.740e-01	-4.815e-01	7.759e-01	0.5349	7.547e-01	2.183e-01	6.497e+00	1.160e+01	3.327e+00	1.037e+00
Contig43844	7259	Contig43844_7259	18	2.923e-01	4.649e-01	6.312e-01	0.4615	5.012e-01	2.381e-01	2.394e+00	3.217e+00	6.860e-01	8.625e-01
Contig43844	7264	Contig43844_7264	18	2.219e-01	4.828e-01	9.561e-01	0.6135	7.363e-01	2.470e-01	1.454e+01	2.094e+01	2.301e+00	1.207e+00
Contig43844	7282	Contig43844_7282	18	3.944e-01	4.413e-01	4.483e-01	0.325	6.886e-01	2.647e-01	1.558e+00	4.097e+00	1.360e+00	6.427e-01
Contig43844	7285	Contig43844_7285	18	2.853e-01	-2.964e-01	6.622e-01	0.6545	6.417e-01	2.320e-01	3.781e+00	7.427e+00	2.486e+00	9.031e-01
Contig438638	9135	Contig438638_9135	18	3.515e-01	1.292e-01	3.899e-01	0.7403	7.869e-01	2.246e-01	1.765e+00	3.256e+00	1.054e+00	6.131e-01
Contig438638	9146	Contig438638_9146	18	4.137e-01	-8.257e-03	3.683e-01	0.9821	6.032e-01	2.750e-01	6.834e-01	1.374e+00	1.380e+00	5.203e-01
Contig43874	1697	Contig43874_1697	18	3.457e-01	-2.687e-02	4.977e-01	0.9569	3.911e-01	2.393e-01	9.383e-01	1.668e+00	2.013e+00	7.217e-01
Contig43881	3287	Contig43881_3287	18	3.015e-01	1.605e+00	9.760e-01	0.1	5.842e-01	2.699e-01	5.470e+00	9.864e+00	3.161e+00	1.175e+00
Contig43881	3328	Contig43881_3328	18	3.121e-01	6.672e-01	1.123e+00	0.5523	3.347e-01	1.712e-01	4.978e+00	3.994e+00	2.739e+00	1.246e+00
Contig43943	29697	Contig43943_29697	18	2.526e-01	-9.744e-01	1.274e+00	0.4444	5.185e-01	2.431e-01	1.263e+01	1.357e+01	3.050e+00	1.384e+00
Contig43943	29742	Contig43943_29742	18	2.596e-01	-1.891e-01	8.556e-01	0.8251	7.381e-01	2.543e-01	6.695e+00	1.318e+01	3.594e+00	1.113e+00
Contig43943	29768	Contig43943_29768	18	2.357e-01	-9.532e-01	7.346e-01	0.1944	7.905e-01	1.989e-01	5.715e+00	8.521e+00	3.686e+00	1.031e+00
Contig43943	29831	Contig43943_29831	18	2.862e-01	-6.465e-01	1.002e+00	0.5189	7.225e-01	2.617e-01	8.930e+00	1.473e+01	3.857e+00	1.513e+00
Contig43943	29841	Contig43943_29841	18	2.673e-01	1.148e+00	1.357e+00	0.3974	5.747e-01	2.655e-01	1.035e+01	1.150e+01	3.765e+00	1.347e+00
Contig43943	29843	Contig43943_29843	18	2.895e-01	3.388e-03	9.200e-01	0.9971	6.630e-01	2.869e-01	7.033e+00	1.510e+01	3.716e+00	1.197e+00
Contig43969	1580	Contig43969_1580	18	3.194e-01	-2.232e-01	1.005e+00	0.8242	7.410e-01	2.301e-01	5.760e+00	1.131e+01	5.641e+00	1.416e+00
Contig43994	8203	Contig43994_8203	18	2.995e-01	3.229e-03	6.003e-01	0.9957	7.517e-01	2.450e-01	4.189e+00	7.687e+00	2.451e+00	8.850e-01
Contig43994	11987	Contig43994_11987	18	4.088e-01	-3.298e-01	5.490e-01	0.5481	7.719e-01	2.357e-01	2.791e+00	7.853e+00	2.884e+00	8.323e-01
Contig44002	29038	Contig44002_29038	18	2.246e-01	1.138e-03	9.484e-01	0.999	8.747e-01	1.141e-01	9.888e+00	1.262e+01	3.207e+00	1.172e+00
Contig44002	29052	Contig44002_29052	18	2.999e-01	-1.956e+00	1.104e+00	0.07638	5.355e-01	2.708e-01	6.253e+00	7.740e+00	5.884e+00	1.367e+00
Contig44002	29073	Contig44002_29073	18	1.880e-01	-2.754e-01	1.365e+00	0.8401	8.357e-01	1.020e-01	2.102e+01	2.109e+01	2.858e+00	1.487e+00
Contig44002	29076	Contig44002_29076	18	2.715e-01	-4.981e-01	1.133e+00	0.6603	4.071e-01	1.872e-01	7.276e+00	5.455e+00	3.135e+00	1.312e+00
Contig44002	29089	Contig44002_29089	18	2.615e-01	-2.114e-02	1.000e+00	0.9831	7.659e-01	2.326e-01	6.502e+00	1.257e+01	3.436e+00	1.143e+00
Contig44002	29094	Contig44002_29094	18	2.772e-01	-1.055e+00	7.512e-01	0.1601	7.078e-01	2.813e-01	6.588e+00	1.268e+01	4.693e+00	1.068e+00
Contig44002	29101	Contig44002_29101	18	2.525e-01	-1.399e+00	1.120e+00	0.2119	5.502e-01	2.499e-01	6.014e+00	8.023e+00	4.425e+00	1.258e+00
Contig44002	29116	Contig44002_29116	18	2.391e-01	-2.142e+00	1.083e+00	0.04803	7.239e-01	2.295e-01	1.281e+01	1.859e+01	5.911e+00	1.332e+00
Contig44003	11609	Contig44003_11609	18	3.334e-01	-1.777e+00	1.098e+00	0.1056	2.898e-01	1.678e-01	4.912e+00	3.724e+00	4.756e+00	1.291e+00
Contig44003	11622	Contig44003_11622	18	2.318e-01	-2.447e-01	9.708e-01	0.801	8.631e-01	1.456e-01	1.499e+01	2.052e+01	3.944e+00	1.342e+00
Contig44003	11791	Contig44003_11791	18	3.911e-01	-2.280e-01	4.684e-01	0.6264	6.498e-01	2.768e-01	1.423e+00	3.541e+00	1.837e+00	6.933e-01
Contig44003	12180	Contig44003_12180	18	2.557e-01	9.223e-01	1.594e+00	0.5628	6.027e-01	2.443e-01	1.682e+01	2.129e+01	3.579e+00	1.722e+00
Contig44003	12260	Contig44003_12260	18	3.333e-01	-6.299e-01	1.079e+00	0.5593	4.780e-01	2.688e-01	4.001e+00	7.662e+00	4.120e+00	1.353e+00
Contig44003	12298	Contig44003_12298	18	3.488e-01	-3.626e-02	7.026e-01	0.9588	6.171e-01	2.752e-01	2.226e+00	3.691e+00	2.944e+00	9.973e-01
Contig44003	12318	Contig44003_12318	18	2.882e-01	-1.160e+00	9.661e-01	0.23	7.587e-01	2.243e-01	9.474e+00	1.586e+01	4.239e+00	1.322e+00
Contig44003	12336	Contig44003_12336	18	4.091e-01	9.441e-01	5.000e-01	0.05903	7.152e-01	2.576e-01	1.744e+00	3.547e+00	8.827e-01	7.200e-01
Contig44003	12409	Contig44003_12409	18	2.795e-01	2.656e-01	6.623e-01	0.6884	6.474e-01	2.487e-01	4.003e+00	8.093e+00	2.278e+00	9.305e-01
Contig44003	12545	Contig44003_12545	18	2.399e-01	3.937e-01	9.468e-01	0.6776	5.872e-01	2.615e-01	8.800e+00	1.473e+01	3.422e+00	1.201e+00
Contig44003	12557	Contig44003_12557	18	3.083e-01	2.041e-01	6.982e-01	0.77	5.380e-01	2.789e-01	2.436e+00	3.921e+00	2.700e+00	8.884e-01
Contig44003	12563	Contig44003_12563	18	3.865e-01	-1.286e-01	5.842e-01	0.8257	7.167e-01	2.555e-01	2.105e+00	4.665e+00	3.159e+00	8.670e-01
Contig44003	12568	Contig44003_12568	18	3.217e-01	2.232e-01	5.942e-01	0.7072	7.866e-01	2.152e-01	3.883e+00	1.008e+01	2.305e+00	8.420e-01
Contig44003	12877	Contig44003_12877	18	3.282e-01	4.016e-01	8.268e-01	0.6271	4.458e-01	2.850e-01	3.521e+00	4.075e+00	3.065e+00	1.085e+00
Contig44003	12973	Contig44003_12973	18	2.818e-01	-1.247e+00	8.619e-01	0.1481	6.874e-01	2.538e-01	5.385e+00	1.090e+01	4.825e+00	1.231e+00
Contig44003	13004	Contig44003_13004	18	2.260e-01	3.646e-01	1.755e+00	0.8354	5.662e-01	2.131e-01	3.506e+01	3.101e+01	2.148e+00	1.907e+00
Contig44003	13015	Contig44003_13015	18	3.002e-01	6.326e-01	1.096e+00	0.5636	5.981e-01	2.850e-01	6.862e+00	1.329e+01	3.259e+00	1.238e+00
Contig44003	13048	Contig44003_13048	18	3.050e-01	4.737e-01	7.162e-01	0.5083	3.838e-01	2.179e-01	2.136e+00	2.313e+00	2.186e+00	9.498e-01
Contig44003	13064	Contig44003_13064	18	2.808e-01	4.092e-01	8.683e-01	0.6374	6.976e-01	2.364e-01	5.245e+00	8.447e+00	2.229e+00	1.141e+00
Contig44003	13071	Contig44003_13071	18	2.872e-01	2.088e-01	1.077e+00	0.8462	8.315e-01	1.964e-01	7.254e+00	1.276e+01	3.700e+00	1.273e+00
Contig44003	13089	Contig44003_13089	18	2.498e-01	1.017e+00	9.437e-01	0.281	6.864e-01	2.556e-01	5.231e+00	8.733e+00	2.837e+00	1.178e+00
Contig44051	534	Contig44051_534	18	2.393e-01	-3.534e-01	8.218e-01	0.6672	6.761e-01	2.466e-01	6.388e+00	1.102e+01	3.970e+00	1.115e+00
Contig44051	558	Contig44051_558	18	3.044e-01	3.288e-02	8.509e-01	0.9692	6.312e-01	2.507e-01	4.001e+00	4.992e+00	3.967e+00	1.312e+00
Contig44051	561	Contig44051_561	18	2.823e-01	2.140e-01	1.223e+00	0.8611	4.558e-01	2.734e-01	1.049e+01	1.939e+01	2.967e+00	1.357e+00
Contig44051	591	Contig44051_591	18	2.954e-01	6.649e-04	8.191e-01	0.9994	5.363e-01	3.179e-01	1.205e+01	2.316e+01	3.199e+00	1.125e+00
Contig44051	600	Contig44051_600	18	3.079e-01	5.239e-01	8.902e-01	0.5562	7.206e-01	2.398e-01	5.888e+00	1.170e+01	2.269e+00	1.051e+00
Contig44051	1120	Contig44051_1120	18	2.908e-01	-4.973e-01	1.375e+00	0.7176	3.739e-01	2.004e-01	7.940e+00	9.111e+00	3.997e+00	1.445e+00
Contig44096	7738	Contig44096_7738	18	2.620e-01	8.485e-01	1.577e+00	0.5906	7.353e-01	2.673e-01	1.008e+01	1.494e+01	4.207e+00	1.376e+00
Contig44123	15471	Contig44123_15471	18	3.865e-01	-3.260e-02	4.363e-01	0.9404	6.385e-01	2.643e-01	1.023e+00	2.700e+00	2.049e+00	6.101e-01
Contig44128	6478	Contig44128_6478	18	2.767e-01	9.900e-01	1.576e+00	0.53	6.555e-01	2.741e-01	1.607e+01	2.860e+01	3.758e+00	1.555e+00
Contig44143	8306	Contig44143_8306	18	3.069e-01	-4.353e-01	6.934e-01	0.5302	6.374e-01	2.928e-01	4.174e+00	9.373e+00	2.825e+00	1.014e+00
Contig44143	8608	Contig44143_8608	18	3.445e-01	-5.509e-01	6.949e-01	0.4279	7.789e-01	2.287e-01	3.181e+00	6.084e+00	3.351e+00	9.887e-01
Contig44143	8760	Contig44143_8760	18	2.309e-01	1.160e+00	1.114e+00	0.2978	7.687e-01	1.937e-01	1.241e+01	1.544e+01	3.065e+00	1.359e+00
Contig44155	4865	Contig44155_4865	18	3.000e-01	2.439e-01	9.367e-01	0.7946	6.689e-01	2.475e-01	4.794e+00	9.484e+00	3.277e+00	1.123e+00
Contig44163	23026	Contig44163_23026	18	3.838e-01	7.856e-02	7.080e-01	0.9116	6.784e-01	2.824e-01	2.744e+00	6.771e+00	2.585e+00	9.425e-01
Contig44163	23043	Contig44163_23043	18	3.571e-01	3.657e-01	7.369e-01	0.6198	6.910e-01	2.711e-01	3.945e+00	6.706e+00	2.984e+00	9.419e-01
Contig44163	23251	Contig44163_23251	18	3.017e-01	-1.918e-01	8.717e-01	0.8258	6.617e-01	2.791e-01	5.116e+00	8.496e+00	3.654e+00	1.144e+00
Contig4417	921	Contig4417_921	18	3.013e-01	-1.133e+00	6.266e-01	0.07068	7.713e-01	2.390e-01	4.777e+00	9.421e+00	3.269e+00	9.280e-01
Contig4417	956	Contig4417_956	18	3.691e-01	6.560e-01	9.018e-01	0.467	4.029e-01	2.786e-01	3.547e+00	5.653e+00	2.744e+00	1.184e+00
Contig4417	966	Contig4417_966	18	2.307e-01	-9.020e-01	1.256e+00	0.4726	5.717e-01	2.440e-01	1.127e+01	1.489e+01	4.293e+00	1.410e+00
Contig4417	1131	Contig4417_1131	18	3.721e-01	1.158e-01	6.122e-01	0.85	6.689e-01	2.588e-01	1.473e+00	3.418e+00	2.759e+00	8.368e-01
Contig4417	1147	Contig4417_1147	18	2.901e-01	-2.031e-01	7.353e-01	0.7824	8.281e-01	1.875e-01	4.818e+00	8.398e+00	2.678e+00	9.656e-01
Contig4417	1202	Contig4417_1202	18	3.821e-01	3.492e-01	4.990e-01	0.4841	7.402e-01	2.337e-01	2.050e+00	4.519e+00	1.895e+00	7.538e-01
Contig4417	1276	Contig4417_1276	18	3.067e-01	-8.509e-02	9.087e-01	0.9254	5.511e-01	2.875e-01	4.184e+00	9.236e+00	4.264e+00	1.277e+00
Contig44178	4849	Contig44178_4849	18	2.498e-01	-1.234e+00	1.221e+00	0.3124	7.495e-01	2.396e-01	7.280e+00	1.110e+01	3.784e+00	1.217e+00
Contig4419	7447	Contig4419_7447	18	2.552e-01	-2.182e-01	7.941e-01	0.7835	7.877e-01	1.994e-01	6.970e+00	1.145e+01	3.696e+00	1.047e+00
Contig4419	7460	Contig4419_7460	18	3.004e-01	2.196e-01	6.157e-01	0.7214	6.555e-01	2.603e-01	3.040e+00	5.263e+00	2.279e+00	8.760e-01
Contig44198	18251	Contig44198_18251	18	3.437e-01	-2.730e-02	5.289e-01	0.9588	6.308e-01	2.670e-01	1.853e+00	3.590e+00	1.618e+00	7.894e-01
Contig442	2430	Contig442_2430	18	3.266e-01	-5.097e-01	1.203e+00	0.6719	4.139e-01	2.634e-01	3.829e+00	4.260e+00	4.140e+00	1.345e+00
Contig44241	10249	Contig44241_10249	18	2.603e-01	-2.199e-01	8.194e-01	0.7885	6.901e-01	2.228e-01	7.266e+00	1.162e+01	3.838e+00	1.107e+00
Contig44241	10265	Contig44241_10265	18	3.267e-01	8.959e-01	6.383e-01	0.1604	6.092e-01	2.862e-01	3.054e+00	4.977e+00	2.266e+00	9.276e-01
Contig44241	10278	Contig44241_10278	18	2.769e-01	-2.672e-01	1.204e+00	0.8243	7.608e-01	2.108e-01	1.619e+01	2.566e+01	3.991e+00	1.259e+00
Contig44241	10285	Contig44241_10285	18	1.882e-01	-9.946e-01	1.129e+00	0.3782	7.424e-01	1.363e-01	1.151e+01	1.153e+01	4.299e+00	1.409e+00
Contig442529	5729	Contig442529_5729	18	3.701e-01	1.010e+00	6.027e-01	0.09392	7.768e-01	2.285e-01	3.826e+00	7.123e+00	4.419e-01	8.088e-01
Contig442529	5732	Contig442529_5732	18	4.998e-01	1.310e-01	3.501e-01	0.7083	7.400e-01	2.409e-01	8.178e-01	1.909e+00	1.899e-01	5.284e-01
Contig44268	4245	Contig44268_4245	18	2.095e-01	-1.916e-01	9.744e-01	0.8441	6.060e-01	2.126e-01	6.363e+00	7.195e+00	3.092e+00	1.190e+00
Contig44268	5437	Contig44268_5437	18	1.877e-01	-1.293e+00	1.918e+00	0.5003	8.502e-01	1.101e-01	3.260e+01	2.862e+01	6.074e+00	1.811e+00
Contig44284	5226	Contig44284_5226	18	3.415e-01	-3.434e-01	5.618e-01	0.541	7.279e-01	2.590e-01	3.417e+00	8.512e+00	2.881e+00	8.121e-01
Contig44297	3496	Contig44297_3496	18	2.570e-01	8.386e-02	6.876e-01	0.9029	6.090e-01	2.498e-01	4.585e+00	8.006e+00	2.354e+00	1.009e+00
Contig44316	380	Contig44316_380	18	3.796e-01	-4.763e-01	4.707e-01	0.3116	6.142e-01	2.539e-01	1.193e+00	2.959e+00	2.202e+00	6.550e-01
Contig44316	399	Contig44316_399	18	3.193e-01	2.188e-01	7.888e-01	0.7815	3.510e-01	1.767e-01	2.594e+00	2.198e+00	1.967e+00	9.861e-01
Contig44316	440	Contig44316_440	18	2.778e-01	-2.878e-01	6.544e-01	0.6601	5.115e-01	2.840e-01	3.400e+00	6.018e+00	3.034e+00	9.135e-01
Contig44335	2431	Contig44335_2431	18	2.995e-01	-2.635e-01	7.188e-01	0.7139	7.658e-01	1.899e-01	5.176e+00	7.841e+00	1.548e+00	9.681e-01
Contig44384	8987	Contig44384_8987	18	2.296e-01	4.929e+00	2.236e+00	0.02754	4.697e-01	1.481e-01	2.139e+01	1.340e+01	1.062e+00	1.773e+00
Contig44384	8992	Contig44384_8992	18	2.899e-01	2.046e+00	1.602e+00	0.2016	3.963e-01	1.840e-01	9.319e+00	7.548e+00	2.959e+00	1.496e+00
Contig44384	9097	Contig44384_9097	18	3.056e-01	5.226e-01	7.700e-01	0.4973	4.189e-01	2.079e-01	2.730e+00	3.079e+00	1.048e+00	1.045e+00
Contig444	18251	Contig444_18251	18	3.436e-01	4.457e-01	8.569e-01	0.603	6.721e-01	2.883e-01	3.527e+00	7.010e+00	2.780e+00	1.139e+00
Contig444	18263	Contig444_18263	18	2.327e-01	1.412e-02	1.056e+00	0.9893	7.143e-01	2.043e-01	1.132e+01	1.660e+01	3.698e+00	1.354e+00
Contig444	18274	Contig444_18274	18	3.097e-01	1.839e-01	7.738e-01	0.8121	7.416e-01	2.486e-01	3.714e+00	6.951e+00	3.349e+00	1.005e+00
Contig444	18947	Contig444_18947	18	2.642e-01	-1.309e+00	9.896e-01	0.186	7.392e-01	2.257e-01	8.229e+00	1.532e+01	4.985e+00	1.244e+00
Contig444	18965	Contig444_18965	18	2.653e-01	-1.943e-01	1.123e+00	0.8626	7.280e-01	2.812e-01	7.567e+00	1.359e+01	4.136e+00	1.214e+00
Contig444	19724	Contig444_19724	18	3.262e-01	-4.085e-01	1.239e+00	0.7417	5.721e-01	3.009e-01	5.785e+00	8.772e+00	5.530e+00	1.410e+00
Contig444	19737	Contig444_19737	18	3.341e-01	9.182e-02	8.626e-01	0.9152	7.241e-01	2.591e-01	4.138e+00	6.755e+00	3.225e+00	1.144e+00
Contig4442	5451	Contig4442_5451	18	3.125e-01	7.699e-02	6.228e-01	0.9016	7.038e-01	2.545e-01	4.376e+00	1.082e+01	2.723e+00	9.105e-01
Contig4442	5556	Contig4442_5556	18	3.348e-01	-1.022e+00	7.900e-01	0.1958	3.414e-01	2.335e-01	2.995e+00	3.039e+00	3.478e+00	1.127e+00
Contig44421	5339	Contig44421_5339	18	2.192e-01	-6.323e-01	1.000e+00	0.5272	8.603e-01	1.401e-01	9.892e+00	1.318e+01	3.554e+00	1.235e+00
Contig44421	5401	Contig44421_5401	18	2.492e-01	1.948e-01	1.169e+00	0.8676	6.495e-01	2.640e-01	1.278e+01	1.845e+01	3.874e+00	1.383e+00
Contig44421	5403	Contig44421_5403	18	2.219e-01	-1.388e+00	8.376e-01	0.09751	7.585e-01	2.400e-01	9.130e+00	1.410e+01	4.868e+00	1.133e+00
Contig44421	5485	Contig44421_5485	18	2.640e-01	-3.773e-03	7.690e-01	0.9961	6.737e-01	2.687e-01	9.260e+00	1.982e+01	3.551e+00	1.083e+00
Contig44421	5500	Contig44421_5500	18	3.174e-01	3.305e-02	5.958e-01	0.9558	6.720e-01	2.690e-01	1.750e+00	3.230e+00	3.415e+00	9.249e-01
Contig44421	5514	Contig44421_5514	18	3.348e-01	-2.904e-01	6.386e-01	0.6493	8.288e-01	1.928e-01	2.954e+00	5.316e+00	3.476e+00	9.438e-01
Contig44421	5518	Contig44421_5518	18	2.892e-01	-1.210e+00	6.800e-01	0.07512	5.875e-01	2.481e-01	2.354e+00	3.048e+00	3.903e+00	9.639e-01
Contig44421	5525	Contig44421_5525	18	2.722e-01	6.118e-01	9.901e-01	0.5367	8.315e-01	1.589e-01	8.437e+00	1.295e+01	3.238e+00	1.273e+00
Contig44421	5533	Contig44421_5533	18	2.389e-01	-1.220e+00	1.245e+00	0.3268	4.456e-01	1.971e-01	8.797e+00	7.861e+00	5.414e+00	1.436e+00
Contig44421	5573	Contig44421_5573	18	3.315e-01	-2.157e-01	5.713e-01	0.7058	3.578e-01	2.297e-01	1.585e+00	3.903e+00	2.319e+00	7.888e-01
Contig44421	5602	Contig44421_5602	18	3.075e-01	6.524e-01	8.083e-01	0.4196	6.345e-01	2.744e-01	4.775e+00	8.337e+00	1.965e+00	1.134e+00
Contig44421	5604	Contig44421_5604	18	2.703e-01	-3.029e-01	8.624e-01	0.7254	6.269e-01	2.504e-01	6.136e+00	9.946e+00	3.571e+00	1.117e+00
Contig44421	9045	Contig44421_9045	18	3.255e-01	-2.306e-01	7.388e-01	0.7549	7.653e-01	2.286e-01	3.573e+00	6.384e+00	2.704e+00	1.018e+00
Contig44421	9142	Contig44421_9142	18	2.155e-01	1.326e+00	2.086e+00	0.525	7.942e-01	2.164e-01	3.381e+01	3.121e+01	4.517e+00	1.700e+00
Contig44421	9151	Contig44421_9151	18	2.295e-01	-6.088e-01	1.137e+00	0.5923	5.507e-01	2.415e-01	1.079e+01	1.264e+01	4.068e+00	1.393e+00
Contig44421	9209	Contig44421_9209	18	1.972e-01	7.282e-01	1.054e+00	0.4897	6.809e-01	2.188e-01	1.293e+01	1.896e+01	2.380e+00	1.458e+00
Contig44421	9212	Contig44421_9212	18	3.395e-01	-6.366e-01	9.489e-01	0.5023	2.776e-01	1.616e-01	3.933e+00	3.362e+00	3.290e+00	1.192e+00
Contig44421	9604	Contig44421_9604	18	2.787e-01	-8.637e-02	8.300e-01	0.9171	6.565e-01	2.587e-01	7.334e+00	1.347e+01	3.463e+00	1.125e+00
Contig44421	9622	Contig44421_9622	18	2.331e-01	-3.736e-01	8.525e-01	0.6612	7.920e-01	2.099e-01	1.131e+01	1.774e+01	3.032e+00	1.132e+00
Contig44421	9633	Contig44421_9633	18	3.730e-01	1.422e-01	6.341e-01	0.8226	5.872e-01	2.922e-01	1.998e+00	3.724e+00	2.217e+00	8.813e-01
Contig44447	16591	Contig44447_16591	18	3.265e-01	-7.342e-01	7.393e-01	0.3206	7.173e-01	2.591e-01	3.293e+00	6.045e+00	4.007e+00	1.001e+00
Contig44447	16600	Contig44447_16600	18	2.270e-01	4.629e-01	8.790e-01	0.5984	7.866e-01	1.853e-01	1.078e+01	1.705e+01	1.431e+00	1.142e+00
Contig44447	16607	Contig44447_16607	18	2.313e-01	-1.582e+00	2.448e+00	0.5181	4.779e-01	1.900e-01	1.757e+01	1.777e+01	5.769e+00	1.738e+00
Contig44447	16609	Contig44447_16609	18	2.387e-01	-3.354e+00	2.034e+00	0.09928	5.622e-01	2.378e-01	1.592e+01	1.716e+01	5.778e+00	1.689e+00
Contig4448	5529	Contig4448_5529	18	2.616e-01	3.571e-01	9.710e-01	0.713	8.370e-01	1.978e-01	9.808e+00	1.573e+01	3.054e+00	1.142e+00
Contig4448	5540	Contig4448_5540	18	3.248e-01	5.850e-01	1.448e+00	0.6862	3.213e-01	1.741e-01	9.997e+00	6.702e+00	3.161e+00	1.455e+00
Contig44482	1051	Contig44482_1051	18	2.461e-01	8.757e-01	1.071e+00	0.4134	6.311e-01	2.541e-01	1.196e+01	1.634e+01	2.973e+00	1.241e+00
Contig44482	1062	Contig44482_1062	18	1.775e-01	2.484e+00	2.451e+00	0.3108	8.288e-01	1.741e-01	7.286e+01	4.402e+01	7.148e+00	3.064e+00
Contig44482	1070	Contig44482_1070	18	1.912e-01	1.900e+00	2.925e+00	0.516	8.885e-01	1.673e-01	3.738e+01	3.457e+01	4.403e+00	1.754e+00
Contig44482	1080	Contig44482_1080	18	2.739e-01	6.055e-01	1.101e+00	0.5824	6.062e-01	2.581e-01	1.011e+01	1.648e+01	2.780e+00	1.410e+00
Contig44488	5002	Contig44488_5002	18	3.150e-01	1.136e+00	6.000e-01	0.0582	8.223e-01	1.907e-01	2.989e+00	6.088e+00	-1.011e+00	8.671e-01
Contig44488	5008	Contig44488_5008	18	2.588e-01	2.548e-02	8.534e-01	0.9762	7.266e-01	2.266e-01	5.832e+00	1.156e+01	2.101e+00	1.187e+00
Contig44495	24342	Contig44495_24342	18	2.318e-01	6.860e-02	1.172e+00	0.9533	5.773e-01	2.407e-01	1.614e+01	2.278e+01	1.883e+00	1.520e+00
Contig44495	24501	Contig44495_24501	18	3.214e-01	-3.826e-01	5.372e-01	0.4763	7.771e-01	2.327e-01	3.377e+00	8.510e+00	2.853e+00	7.993e-01
Contig44517	17772	Contig44517_17772	18	3.196e-01	3.148e-01	7.886e-01	0.6898	7.921e-01	2.172e-01	4.768e+00	8.600e+00	2.828e+00	9.983e-01
Contig44517	17775	Contig44517_17775	18	3.051e-01	-2.834e-01	8.536e-01	0.7399	6.444e-01	2.914e-01	5.827e+00	1.029e+01	4.377e+00	1.125e+00
Contig44517	17806	Contig44517_17806	18	3.090e-01	-8.950e-01	9.370e-01	0.3395	6.340e-01	2.858e-01	3.279e+00	7.027e+00	4.181e+00	1.121e+00
Contig44517	17814	Contig44517_17814	18	2.484e-01	-5.570e-01	1.026e+00	0.5873	6.749e-01	2.995e-01	1.342e+01	1.842e+01	3.860e+00	1.283e+00
Contig44517	17835	Contig44517_17835	18	2.814e-01	4.291e-01	9.670e-01	0.6573	7.048e-01	2.383e-01	6.706e+00	1.242e+01	3.108e+00	1.206e+00
