UNIPROT_ACCESSION	Name	Species
Q5M9F5	diphthamine biosynthesis 6(Dph6)	Rattus norvegicus
Q8R512	UBX domain protein 11(Ubxn11)	Rattus norvegicus
Q502W6	von Willebrand factor A domain containing 3B(VWA3B)	Homo sapiens
Q9BVG8	kinesin family member C3(KIFC3)	Homo sapiens
Q8TE73	dynein axonemal heavy chain 5(DNAH5)	Homo sapiens
Q8TCQ1	membrane associated ring-CH-type finger 1(MARCH1)	Homo sapiens
Q9C0G6	dynein axonemal heavy chain 6(DNAH6)	Homo sapiens
Q5T3U5	ATP binding cassette subfamily C member 10(ABCC10)	Homo sapiens
O70445	BRCA1 associated RING domain 1(Bard1)	Mus musculus
Q6DRL5	MYB binding protein (P160) 1a(mybbp1a)	Danio rerio
A4QNR8	leukocyte receptor cluster (LRC) member 8(leng8)	Danio rerio
P92208	basket(bsk)	Drosophila melanogaster
Q8HZK2	dual oxidase 2(DUOX2)	Sus scrofa
Q66PG2	like-glycosyltransferase(large)	Danio rerio
Q6ZTR5	cilia and flagella associated protein 47(CFAP47)	Homo sapiens
P98153	DiGeorge syndrome critical region gene 2(DGCR2)	Homo sapiens
P82451	ATP binding cassette subfamily C member 9(ABCC9)	Oryctolagus cuniculus
Q9W0T1	Enhancer of bithorax(E(bx))	Drosophila melanogaster
Q9NQ90	anoctamin 2(ANO2)	Homo sapiens
Q8CB62	centrobin, centrosomal BRCA2 interacting protein(Cntrob)	Mus musculus
Q96AD5	patatin like phospholipase domain containing 2(PNPLA2)	Homo sapiens
O70546	lysine (K)-specific demethylase 6A(Kdm6a)	Mus musculus
Q8HZY8	coiled-coil domain containing 148(CCDC148)	Macaca fascicularis
Q9Z2F6	B cell leukemia/lymphoma 3(Bcl3)	Mus musculus
P86410	Ral GTPase activating protein non-catalytic beta subunit(Ralgapb)	Rattus norvegicus
G3MWR8	microtubule associated monooxygenase, calponin and LIM domain containing 3(MICAL3)	Bos taurus
Q66KB0	ubiquitin conjugating enzyme E2Z(ube2z)	Xenopus tropicalis
B7YZV4	CG44007 gene product from transcript CG44007-RG(Pde1c)	Drosophila melanogaster
P37889	fibulin 2(Fbln2)	Mus musculus
D3Z902	F-box and WD repeat domain containing 7(Fbxw7)	Rattus norvegicus
Q99708	RB binding protein 8, endonuclease(RBBP8)	Homo sapiens
Q8BNA6	FAT atypical cadherin 3(Fat3)	Mus musculus
Q9DE26	RuvB-like AAA ATPase 1 S homeolog(ruvbl1.S)	Xenopus laevis
Q0IHM1	major facilitator superfamily domain containing 2A(mfsd2a)	Xenopus tropicalis
Q659A1	interactor of little elongation complex ELL subunit 2(ICE2)	Homo sapiens
Q4R713	CWC27 spliceosome associated protein homolog(CWC27)	Macaca fascicularis
O55092	STE20 like kinase(Slk)	Cavia porcellus
O88496	gamma-glutamyl carboxylase(Ggcx)	Rattus norvegicus
Q6A4L1	solute carrier family 12, member 8 L homeolog(slc12a8.L)	Xenopus laevis
P21816	cysteine dioxygenase type 1(Cdo1)	Rattus norvegicus
E1BNG3	activating signal cointegrator 1 complex subunit 3(ASCC3)	Bos taurus
Q6P1E8	EF-hand calcium binding domain 6(Efcab6)	Mus musculus
Q86X10	Ral GTPase activating protein non-catalytic beta subunit(RALGAPB)	Homo sapiens
Q8AWW5	cysteine rich transmembrane BMP regulator 1 (chordin-like)(CRIM1)	Gallus gallus
P56223	POU class 6 homeobox 1(Pou6f1)	Rattus norvegicus
Q08D57	SET domain containing 1B(setd1b)	Xenopus tropicalis
Q00174	Laminin A(LanA)	Drosophila melanogaster
Q08D51	autophagy related 2A(atg2a)	Xenopus tropicalis
Q8N302	angiogenic factor with G-patch and FHA domains 1(AGGF1)	Homo sapiens
Q9DBG7	signal recognition particle receptor ('docking protein')(Srpr)	Mus musculus
P07942	laminin subunit beta 1(LAMB1)	Homo sapiens
A0JNB1	zinc finger protein 227(ZNF227)	Bos taurus
O15440	ATP binding cassette subfamily C member 5(ABCC5)	Homo sapiens
A2RRH5	WD repeat domain 27(WDR27)	Homo sapiens
Q08CN0	trafficking protein particle complex 2(trappc2)	Danio rerio
P48601	Regulatory particle triple-A ATPase 2(Rpt2)	Drosophila melanogaster
Q08D64	ATP binding cassette subfamily B member 6 (Langereis blood group)(abcb6)	Xenopus tropicalis
P13221	glutamic-oxaloacetic transaminase 1(Got1)	Rattus norvegicus
Q1HPL8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 10(LOC733018)	Bombyx mori
Q5U4S8	UDP-glucose ceramide glucosyltransferase S homeolog(ugcg.S)	Xenopus laevis
Q5R9H4	APOBEC1 complementation factor(A1CF)	Pongo abelii
P11584	myospheroid(mys)	Drosophila melanogaster
Q9H583	HEAT repeat containing 1(HEATR1)	Homo sapiens
Q7PWV1	AGAP008842-PA(AQP_ANOGA)	Anopheles gambiae str. PEST
Q7Z6Z7	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)	Homo sapiens
O60673	REV3 like, DNA directed polymerase zeta catalytic subunit(REV3L)	Homo sapiens
O60494	cubilin(CUBN)	Homo sapiens
Q5RBD6	coiled-coil domain containing 66(CCDC66)	Pongo abelii
Q8NI27	THO complex 2(THOC2)	Homo sapiens
Q8CFI0	neural precursor cell expressed, developmentally down-regulated gene 4-like(Nedd4l)	Mus musculus
A2AWP0	baculoviral IAP repeat-containing 7 (livin)(Birc7)	Mus musculus
A2AAE1	RIKEN cDNA 4932438A13 gene(4932438A13Rik)	Mus musculus
Q3U145	transmembrane protein 64(Tmem64)	Mus musculus
O02373	sugarless(sgl)	Drosophila melanogaster
Q8R4R6	nucleoporin 35(Nup35)	Mus musculus
Q9H5L6	THAP domain containing 9(THAP9)	Homo sapiens
Q5REY7	UBX domain protein 7(UBXN7)	Pongo abelii
Q3S8M4	ELOVL fatty acid elongase 4(ELOVL4)	Macaca mulatta
Q8IW19	aprataxin and PNKP like factor(APLF)	Homo sapiens
Q9DCD2	XPA binding protein 2(Xab2)	Mus musculus
P51893	adenosylhomocysteinase L homeolog(ahcy.L)	Xenopus laevis
Q5ZIM6	apoptosis antagonizing transcription factor(AATF)	Gallus gallus
O89106	fragile histidine triad gene(Fhit)	Mus musculus
Q7T0B1	serine/threonine kinase 40(STK40)	Gallus gallus
Q9HCE6	Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)	Homo sapiens
Q8SPK0	cytochrome P450 4A24(CYP4A24)	Sus scrofa
P98063	bone morphogenetic protein 1(Bmp1)	Mus musculus
Q6PI26	SHQ1, H/ACA ribonucleoprotein assembly factor(SHQ1)	Homo sapiens
Q92878	RAD50 double strand break repair protein(RAD50)	Homo sapiens
Q8TD10	mirror-image polydactyly 1(MIPOL1)	Homo sapiens
Q9ER00	syntaxin 12(Stx12)	Mus musculus
Q62747	synaptotagmin 7(Syt7)	Rattus norvegicus
Q8IX29	F-box protein 16(FBXO16)	Homo sapiens
Q8WNR0	high-affinity copper uptake protein(CTR1)	Sus scrofa
Q5TH69	ARFGEF family member 3(ARFGEF3)	Homo sapiens
Q9CQ62	2,4-dienoyl CoA reductase 1, mitochondrial(Decr1)	Mus musculus
Q5HZL1	ERI1 exoribonuclease family member 2 L homeolog(eri2.L)	Xenopus laevis
A2CIR5	ankyrin repeat-containing protein At3g12360(LOC4327365)	Oryza sativa Japonica Group
Q24307	Death-associated inhibitor of apoptosis 2(Diap2)	Drosophila melanogaster
Q59H18	TNNI3 interacting kinase(TNNI3K)	Homo sapiens
A3R064	docking protein 3(DOK3)	Gallus gallus
P27605	hypoxanthine phosphoribosyltransferase 1(Hprt1)	Rattus norvegicus
A0JM13	C2 calcium-dependent domain containing 3(c2cd3)	Xenopus tropicalis
F1RQM2	phosphoglucomutase 3(PGM3)	Sus scrofa
Q9Y5B6	PAX3 and PAX7 binding protein 1(PAXBP1)	Homo sapiens
Q5RBN8	lin-54 DREAM MuvB core complex component(LIN54)	Pongo abelii
P46462	valosin-containing protein(Vcp)	Rattus norvegicus
P13086	succinate-CoA ligase, alpha subunit(Suclg1)	Rattus norvegicus
O60486	plexin C1(PLXNC1)	Homo sapiens
Q58A42	hypothetical protein(DD3-3)	Dictyostelium discoideum AX4
Q4KMQ2	anoctamin 6(ANO6)	Homo sapiens
Q8TAA9	VANGL planar cell polarity protein 1(VANGL1)	Homo sapiens
Q9VI93	rotund(rn)	Drosophila melanogaster
Q6ZQQ6	WD repeat domain 87(WDR87)	Homo sapiens
Q9JLU4	SH3 and multiple ankyrin repeat domains 3(Shank3)	Rattus norvegicus
Q9VC61	Repressed by TOR(REPTOR)	Drosophila melanogaster
Q6IRN2	QKI, KH domain containing, RNA binding L homeolog(qki.L)	Xenopus laevis
P62840	ubiquitin conjugating enzyme E2D 3 L homeolog(ube2d3.L)	Xenopus laevis
P90893	Putative serine protease F56F10.1(F56F10.1)	Caenorhabditis elegans
Q18297	TRPA cation channel homolog(trpa-1)	Caenorhabditis elegans
A2VD01	cAMP responsive element binding protein 3-like 2 L homeolog(creb3l2.L)	Xenopus laevis
P59055	cysteine-serine-rich nuclear protein 3(Csrnp3)	Mus musculus
Q1PET6	alpha/beta-Hydrolases superfamily protein(ICME-LIKE2)	Arabidopsis thaliana
Q07912	tyrosine kinase non receptor 2(TNK2)	Homo sapiens
Q5ZLG9	WD repeat domain 59(WDR59)	Gallus gallus
Q5D016	prefoldin subunit 1(pfdn1)	Danio rerio
P28020	casein kinase 2, alpha 1 polypeptide S homeolog(csnk2a1.S)	Xenopus laevis
P08922	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)	Homo sapiens
Q1W1Y5	proline, glutamate and leucine rich protein 1(PELP1)	Macaca mulatta
Q53G59	kelch like family member 12(KLHL12)	Homo sapiens
Q23551	Twitchin(unc-22)	Caenorhabditis elegans
P0DMP2	SLIT-ROBO Rho GTPase activating protein 2B(SRGAP2B)	Homo sapiens
Q8C7R4	ubiquitin-like modifier activating enzyme 6(Uba6)	Mus musculus
Q5W0Q7	ubiquitin specific peptidase like 1(USPL1)	Homo sapiens
Q78KK3	solute carrier family 22 (organic cation transporter), member 18(Slc22a18)	Mus musculus
Q3UHC7	disabled 2 interacting protein(Dab2ip)	Mus musculus
Q90ZK6	serine/threonine-protein kinase receptor(ATVR1)	Gallus gallus
Q14596	NBR1, autophagy cargo receptor(NBR1)	Homo sapiens
O70458	oncostatin M receptor(Osmr)	Mus musculus
E7F1C4	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 b(smarcad1b)	Danio rerio
Q6IDD9	Ectoderm-expressed 4(Ect4)	Drosophila melanogaster
A4IF63	tripartite motif containing 2(TRIM2)	Bos taurus
Q5TTG1	AGAP003153-PD(VATA_ANOGA)	Anopheles gambiae str. PEST
Q5ZKG2	bromodomain containing 7(BRD7)	Gallus gallus
Q3UHK1	solute carrier family 2 (facilitated glucose transporter), member 13(Slc2a13)	Mus musculus
Q8CG09	ATP binding cassette subfamily C member 1(Abcc1)	Rattus norvegicus
Q8BW74	hepatic leukemia factor(Hlf)	Mus musculus
P54756	EPH receptor A5(EPHA5)	Homo sapiens
Q65XV2	E3 ubiquitin-protein ligase XB3(LOC4337598)	Oryza sativa Japonica Group
Q5R8Z6	multiple coagulation factor deficiency 2(MCFD2)	Pongo abelii
Q5RC06	catenin alpha like 1(CTNNAL1)	Pongo abelii
	P42674		
	Q7SIG4		
	P27966		
	Q58588		
	B3EWZ6		
	Q91233		
	Q9U639		
	A8Q2D1		
	A2XYY8		
	P25210		
	P59669		
	A3RLT6		
	P27393		
	Q92035		
	Q8RB67		
	H2A0N4		
	P74148		
	Q6EEF3		
	Q8T773		
	B3EWZ5		
	O42099		
	A5FG48		
	J3SBP3		
	Q25011		
	P23034		
	Q91437		
	B0SJT4		
	B8CXL0		
	O96785		
	O02466		
	Q04786		
	Q6ZZY0		
	P21896		
